lga_name,suburb,latitude,longitude
Moyne,Warrabkook,-38.0490245,141.9791849
Buloke,Warracknabeal,-36.2167744,142.4039296
Baw Baw,Warragul,-38.1692482,145.9469958
Baw Baw,Warragul West,-38.0844084,146.002705
Manningham,Warrandyte,-37.7386037,145.2148736
Manningham,Warrandyte South,-37.7900435,145.2424941
Manningham,Warranwood,-37.7900435,145.2424941
Glenelg,Warrayure,-37.7255033,141.8945505
Benalla,Warrenbayne,-36.6394628,145.8690603
Buloke,Warrenmang,-37.0021242,143.2827118
Colac-Otway,Warrion,-38.36853,143.4338092
Moyne,Warrnambool,-38.3603292,142.4678659
Moyne,Warrong,-38.2179522,142.2337184
Buloke,Watchem,-36.1476587,142.8312661
Buloke,Watchem West,-36.1476587,142.8312661
Buloke,Watchupga,-35.6652195,142.7455935
Mitchell,Waterford Park,-37.2372916,145.093449
Pyrenees,Waterloo,-37.4528631,143.3474304
Kingston (Vic.),Waterways,-38.0005492,145.1044805
Banyule,Watsonia,-37.7019248,145.0851764
Banyule,Watsonia North,-37.7019248,145.0851764
Nillumbik,Watsons Creek,-37.6897828,145.2369693
Bass Coast,Wattle Bank,-38.6238593,145.6023644
Northern Grampians,Wattle Creek,-36.9882754,143.0888943
Nillumbik,Wattle Glen,-37.6683887,145.1872619
Colac-Otway,Wattle Hill,-38.6505708,143.4554195
Glen Eira,Wattletree Road PO,-37.8763981,145.0548502
Greater Geelong,Waurn Ponds,-38.1747227,144.3139277
Monash,Waverley Gardens,-37.9267579,145.1762197
Buloke,Wedderburn Junction,-36.424265,143.6068646
Gannawarra,Wee Wee Rup,-35.8021206,144.215646
Colac-Otway,Weeaproinah,-38.6505708,143.4554195
Colac-Otway,Weering,-38.1418099,143.6718623
Colac-Otway,Weerite,-38.1491105,143.1319209
Buloke,Wehla,-36.424265,143.6068646
Mount Alexander,Welshmans Reef,-37.0911657,144.0630048
South Gippsland,Welshpool,-38.6286899,146.4383942
Swan Hill,Wemen,-34.7552395,142.7455935
Ballarat,Wendouree,-37.5089149,143.7911684
Ballarat,Wendouree Village,-37.5089149,143.7911684
Colac-Otway,Wensleydale,-38.260588,143.9541563
Ballarat,Werona,-37.3708363,143.9541563
Brimbank,Werribee,-37.938058,144.6753231
Brimbank,Werribee South,-37.938058,144.6753231
Mildura,Werrimull,-34.3907124,141.4309582
Yarra Ranges,Wesburn,-37.6990844,145.8023118
Greater Bendigo,West Bendigo,-36.7665875,144.2920769
Bass Coast,West Creek,-38.5123976,145.6023644
Brimbank,West Footscray,-37.8146251,144.8456217
Melbourne,West Melbourne,-37.8114504,144.9253974
Wodonga,West Wodonga,-36.1118041,146.8423556
Gannawarra,Westby,-35.7583662,143.8671868
Hume,Westmeadows,-37.6707522,144.8896264
Ararat,Westmere,-37.6978029,143.0029169
Murrindindi,Whanregarwen,-37.1872994,145.6245586
Campaspe,Wharparilla,-36.1149809,144.6314321
Monash,Wheelers Hill,-37.8921876,145.1706992
Greater Bendigo,Whipstick,-36.6478425,144.1938221
Buloke,Whirily,-35.9221523,142.8312661
Greater Bendigo,White Hills,-36.7665875,144.2920769
